it,SNR,mod,acc,f1
0,6,PAM4,0.7283333333333334,0.9199663016006739
0,8,BPSK,0.7414285714285714,0.8708297690333617
0,8,QAM16,0.7414285714285714,0.7964458804523425
0,8,QPSK,0.7414285714285714,0.41569459172852596
0,8,8PSK,0.7414285714285714,0.6165622825330549
0,8,GFSK,0.7414285714285714,0.7271010387157696
0,8,CPFSK,0.7414285714285714,0.7795620437956204
0,8,PAM4,0.7414285714285714,0.9358108108108107
0,10,BPSK,0.7478571428571429,0.8516912402428448
0,10,QAM16,0.7478571428571429,0.7983935742971887
0,10,QPSK,0.7478571428571429,0.4576612903225806
0,10,8PSK,0.7478571428571429,0.6082621082621082
0,10,GFSK,0.7478571428571429,0.7599629286376275
0,10,CPFSK,0.7478571428571429,0.7961309523809523
0,10,PAM4,0.7478571428571429,0.9366018596787828
0,12,BPSK,0.7376190476190476,0.8421052631578947
0,12,QAM16,0.7376190476190476,0.8111658456486044
0,12,QPSK,0.7376190476190476,0.42167487684729066
0,12,8PSK,0.7376190476190476,0.5984138428262437
0,12,GFSK,0.7376190476190476,0.7365439093484419
0,12,CPFSK,0.7376190476190476,0.7886297376093294
0,12,PAM4,0.7376190476190476,0.9344537815126052
0,14,BPSK,0.7357142857142858,0.853913043478261
0,14,QAM16,0.7357142857142858,0.8003286770747741
0,14,QPSK,0.7357142857142858,0.4400785854616896
0,14,8PSK,0.7357142857142858,0.6029935851746259
0,14,GFSK,0.7357142857142858,0.7152444870565676
0,14,CPFSK,0.7357142857142858,0.7816091954022988
0,14,PAM4,0.7357142857142858,0.9311809685641461
0,16,BPSK,0.7428571428571429,0.8741610738255033
0,16,QAM16,0.7428571428571429,0.8217573221757322
0,16,QPSK,0.7428571428571429,0.430327868852459
0,16,8PSK,0.7428571428571429,0.6216027874564459
0,16,GFSK,0.7428571428571429,0.7125353440150801
0,16,CPFSK,0.7428571428571429,0.7669831994156319
0,16,PAM4,0.7428571428571429,0.9368600682593857
0,18,BPSK,0.7402380952380953,0.8556789069171647
0,18,QAM16,0.7402380952380953,0.8003300330033003
0,18,QPSK,0.7402380952380953,0.44490216271884653
0,18,8PSK,0.7402380952380953,0.6162464985994398
0,18,GFSK,0.7402380952380953,0.714828897338403
0,18,CPFSK,0.7402380952380953,0.774617067833698
0,18,PAM4,0.7402380952380953,0.9372384937238494
1,-10,BPSK,0.1488095238095238,0.12195121951219512
1,-10,QAM16,0.1488095238095238,0.08045977011494253
1,-10,QPSK,0.1488095238095238,0.2332089552238806
1,-10,8PSK,0.1488095238095238,0.04261363636363637
1,-10,GFSK,0.1488095238095238,0.06069364161849712
1,-10,CPFSK,0.1488095238095238,0.16133942161339423
1,-10,PAM4,0.1488095238095238,0.031746031746031744
1,-8,BPSK,0.17261904761904762,0.13978494623655915
